2019-03-14 15:29:21.6175 | INFO | Book contains cycle = True
2019-03-14 15:29:21.6175 | INFO | maxDepth = 3
2019-03-14 15:29:22.0989 | INFO | elChapters calculated
2019-03-14 15:29:22.1004 | INFO | AllChapters processed
2019-03-14 15:29:22.1004 | INFO | SetVisualParent
2019-03-14 15:29:22.1004 | INFO | We are created BookWithChaptersV2
2019-03-14 15:29:22.1004 | INFO | front model done
2019-03-14 15:29:26.3920 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:29:26.4000 | INFO | Book was getted book=Test book
2019-03-14 15:29:26.4000 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:29:26.4000 | INFO | Book contains cycle = True
2019-03-14 15:29:26.4000 | INFO | maxDepth = 3
2019-03-14 15:29:26.7638 | INFO | elChapters calculated
2019-03-14 15:29:26.7638 | INFO | AllChapters processed
2019-03-14 15:29:26.7638 | INFO | SetVisualParent
2019-03-14 15:29:26.7638 | INFO | We are created BookWithChaptersV2
2019-03-14 15:29:26.7638 | INFO | front model done
2019-03-14 15:29:30.2179 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:29:30.2335 | INFO | Book was getted book=Test book
2019-03-14 15:29:30.2335 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:29:30.2870 | INFO | Book contains cycle = False
2019-03-14 15:29:30.2880 | INFO | maxDepth = 4
2019-03-14 15:29:30.3766 | INFO | elChapters calculated
2019-03-14 15:29:30.3766 | INFO | AllChapters processed
2019-03-14 15:29:30.3766 | INFO | SetVisualParent
2019-03-14 15:29:30.4056 | INFO | We are created BookWithChaptersV2
2019-03-14 15:29:30.4056 | INFO | front model done
2019-03-14 15:29:38.0421 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:29:38.0421 | INFO | Book was getted book=Test book
2019-03-14 15:29:38.0421 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:29:38.0421 | INFO | Book contains cycle = False
2019-03-14 15:29:38.0541 | INFO | maxDepth = 4
2019-03-14 15:29:38.0541 | INFO | elChapters calculated
2019-03-14 15:29:38.0706 | INFO | AllChapters processed
2019-03-14 15:29:38.0706 | INFO | SetVisualParent
2019-03-14 15:29:38.0706 | INFO | We are created BookWithChaptersV2
2019-03-14 15:29:38.0706 | INFO | front model done
2019-03-14 15:29:47.3147 | INFO | GetWithChaptersV2 id=160003
2019-03-14 15:29:47.3212 | INFO | Book was getted book=Test book
2019-03-14 15:29:47.3212 | INFO | Start constructor BookWithChaptersV2
2019-03-14 15:29:47.3212 | INFO | Book contains cycle = False
2019-03-14 15:29:47.3212 | INFO | maxDepth = 3
2019-03-14 15:29:47.3512 | INFO | elChapters calculated
2019-03-14 15:29:47.3527 | INFO | AllChapters processed
2019-03-14 15:29:47.3527 | INFO | SetVisualParent
2019-03-14 15:29:47.3527 | INFO | We are created BookWithChaptersV2
2019-03-14 15:29:47.3527 | INFO | front model done
